url,title,price,currency_symbol,marca,modelo,year,color,combustible,puertas,transmision,motor,carroceria,km,price_in_pesos
https://auto.mercadolibre.com.ar/mla-1122962662-bmw-430i-2018-20-n-sportline-grand-coupe-abs-san-blas-auto-_jm#position=10&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,bmw serie 4 2.0 430i gran coupe sportline 252cv,42900,u$s,bmw,serie 4,2018,azul,nafta,4,automática,2.0,coupé,23400,8279700
https://auto.mercadolibre.com.ar/mla-1122893539-mercedes-benz-clase-a-2015-16-a45-amg-w176-cassano-automobi-_jm#position=11&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,mercedes-benz clase a 1.6 a45 amg w176,50000,u$s,mercedes-benz,clase a,2015,blanco,nafta,5,automática,1.6,hatchback,54000,9650000
https://auto.mercadolibre.com.ar/mla-1122872338-renault-kangoo-express-16-1-plc-2017-_jm#position=12&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,renault kangoo 1.6 furgon ph3 confort 1plc,1980000,$,renault,kangoo,2017,plateado,nafta,3,manual,1.6,furgón,87000,1980000
https://auto.mercadolibre.com.ar/mla-1122516868-kia-sportage-20-ex-4x2-at-2013-imolaautos-_jm#position=13&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,kia sportage 2.0 ex 2wd 163cv at,3300000,$,kia,sportage,2013,rojo,nafta,5,automática,2.0,suv,154000,3300000
https://auto.mercadolibre.com.ar/mla-1131620083-land-rover-evoque-20-pure-plus-240cv-_jm#position=14&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,land rover evoque 2.0 prestige plus 240cv,35500,u$s,land rover,evoque,2012,blanco,nafta,5,automática,2.0,suv,149000,6851500
https://auto.mercadolibre.com.ar/mla-1122296663-ford-focus-5p-20-titanium-powershift-_jm#position=15&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,ford focus iii 2.0 titanium at6,3000000,$,ford,focus iii,2016,blanco,nafta,5,automática,2.0,hatchback,99800,3000000
https://auto.mercadolibre.com.ar/mla-1122202259-fiat-qubo-2013-14-active-73cv-_jm#position=16&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,fiat qubo 1.4 active 73cv,1490000,$,fiat,qubo,2013,negro,nafta,5,manual,1.4,monovolumen,148000,1490000
https://auto.mercadolibre.com.ar/mla-1122031135-toyota-corolla-20-xei-cvt-2021-_jm#position=17&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,toyota corolla 2.0 xei cvt,5388000,$,toyota,corolla,2021,gris,nafta,4,automática,2.0,sedán,19500,5388000
https://auto.mercadolibre.com.ar/mla-1121747834-jeep-renegade-2019-18-sport-at-plus-_jm#position=18&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,jeep renegade 1.8 sport at plus,4600000,$,jeep,renegade,2019,negro,nafta,5,automática,1.8,suv,46157,4600000
https://auto.mercadolibre.com.ar/mla-1129038401-volkswagen-bora-2011-19-trendline-i-100cv-1750000-_jm#position=19&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,volkswagen bora 1.9 trendline i 100cv,1750000,$,volkswagen,bora,2011,plateado,diésel,4,manual,1.9,sedán,93000,1750000
https://auto.mercadolibre.com.ar/mla-1130511521-citron-ds3-2016-16-thp-156-sport-chic-_jm#position=20&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,citroën ds3 1.6 thp 156 sport chic,14200,u$s,citroën,ds3,2016,violeta,nafta,3,manual,1.6,hatchback,67000,2740600
https://auto.mercadolibre.com.ar/mla-1121217311-toyota-yaris-2021-15-107cv-xls-5-p-_jm#position=21&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,toyota yaris 1.5 107cv xls 5 p,3700000,$,toyota,yaris,2021,negro,nafta,5,manual,1.5,hatchback,10535,3700000
https://auto.mercadolibre.com.ar/mla-1128886464-volkswagen-polo-gts-14-at-tsi-150cv-0-km-_jm#position=22&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,volkswagen polo 1.4 tsi gts,5900000,$,volkswagen,polo,2021,blanco,nafta,5,automática,1.4,hatchback,2500,5900000
https://auto.mercadolibre.com.ar/mla-1120716824-renault-fluence-2011-20-dynamique-_jm#position=23&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,renault fluence 2.0 dynamique,1310000,$,renault,fluence,2011,blanco,nafta,4,manual,2.0,sedán,150000,1310000
https://auto.mercadolibre.com.ar/mla-1129031953-ford-ecosport-16-se-4x2-gnc-2300000-_jm#position=24&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,ford ecosport 1.6 se 110cv 4x2,2300000,$,ford,ecosport,2014,blanco,nafta/gnc,5,manual,1.6,suv,86000,2300000
https://auto.mercadolibre.com.ar/mla-1128916093-volkswagen-nivus-comfortline-200-tsi-at-2021-0km-_jm#position=25&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,volkswagen nivus 1.0 tsi tiptronic comfortline,4900000,$,volkswagen,nivus,2021,blanco,nafta,5,automática,1.0,suv,500,4900000
https://auto.mercadolibre.com.ar/mla-1119530009-ford-focus-20-se-plus-mt-2017-_jm#position=26&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,ford focus iii 2.0 se,3088000,$,ford,focus iii,2017,blanco,nafta,5,manual,2.0,hatchback,68000,3088000
https://auto.mercadolibre.com.ar/mla-1119450282-chevrolet-onix-ltz-14n-32000km-2018-gris-_jm#position=27&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,chevrolet onix 1.4 ltz 98cv,2959000,$,chevrolet,onix,2018,gris,nafta,5,manual,1.4,hatchback,32000,2959000
https://auto.mercadolibre.com.ar/mla-1119481021-peugeot-308-2022-16-feline-hdi-115cv-_jm#position=28&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,peugeot 308 1.6 feline hdi 115cv,4600000,$,peugeot,308,2021,blanco,diésel,5,manual,1.6,hatchback,1000,4600000
https://auto.mercadolibre.com.ar/mla-1119051546-ford-ranger-2021-xls-tdci-4x2-at-abasto-motors-_jm#position=29&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,ford ranger 3.2 cd xls tdci 200cv automática,6990000,$,ford,ranger,2021,gris,diésel,4,automática,3.2,pick-up,21000,6990000
