marca,year,color,combustible,puertas,transmision,motor,carroceria,km,price_in_pesos
audi,2011,gris,nafta,5,automática,2.0,suv,128600,4050000
audi,2016,negro,nafta,5,automática,1.4,sedán,53200,4500000
chevrolet,2014,plateado,nafta,4,manual,1.8,sedán,54500,2190000
peugeot,2012,negro,nafta,5,manual,1.6,monovolumen,93000,2190000
citroën,2014,blanco,nafta,4,automática,1.6,sedán,117500,2090000
toyota,2019,gris,nafta,5,automática,2.7,monovolumen,99000,5000000
fiat,2019,blanco,nafta,3,manual,1.4,hatchback,20800,5960000
volkswagen,2021,negro,diésel,4,automática,3.0,pick-up,19000,10100000
peugeot,2013,gris,nafta,3,manual,1.4,hatchback,132000,1380000
nissan,2017,gris,nafta,4,automática,2.0,sedán,98000,3080000
audi,2021,gris,nafta,5,automática,3.0,suv,1000,36420000
toyota,2019,plateado,nafta,5,automática,2.7,monovolumen,99000,4999999
audi,2011,gris,nafta,3,automática,2.0,hatchback,60000,3700000
audi,2021,plateado,nafta,4,manual,2.0,sedán,999,11380000
ford,2015,blanco,nafta,5,automática,1.6,hatchback,90000,2399000
mercedes-benz,2016,gris,nafta,5,automática,1.6,hatchback,40000,6380000
hyundai,2013,plateado,nafta,2,automática,1.6,coupé,97000,2300000
peugeot,2014,gris,nafta,5,manual,1.6,hatchback,37000,2290000
ford,2018,blanco,nafta,5,automática,1.6,hatchback,55000,2900000
ford,2016,blanco,nafta,5,manual,2.0,hatchback,87000,2900000
bmw,2017,blanco,nafta,5,automática,1.5,hatchback,56000,4980000
renault,2019,blanco,nafta,5,manual,1.0,hatchback,56300,2350000
ford,2015,blanco,diésel,4,manual,3.2,pick-up,120000,4390000
ram,2016,blanco,nafta,4,automática,5.7,pick-up,65000,10000000
honda,2016,gris,nafta,5,automática,1.8,suv,81000,4000000
ford,2015,blanco,nafta,5,manual,1.6,suv,43300,2700000
audi,2020,gris,nafta,5,automática,1.4,suv,8300,13398000
ds,2017,negro,nafta,5,manual,1.6,hatchback,70000,3850000
ram,2021,gris,nafta,4,automática,5.7,pick-up,11800,11200000
chevrolet,2018,azul,nafta,2,manual,6.2,cabriolet,28000,17400000
jeep,2021,blanco,nafta,5,automática,1.8,suv,1000,5990000
ford,2021,plateado,diésel,4,manual,3.2,pick-up,5500,6600000
volkswagen,2016,negro,diésel,4,automática,2.0,pick-up,91000,6200000
volkswagen,2014,blanco,nafta,5,manual,1.6,hatchback,103000,1850500
peugeot,2020,blanco,nafta,5,manual,1.6,hatchback,20000,4100000
fiat,2019,rojo,nafta,3,manual,1.4,hatchback,14000,5380000
bmw,2018,blanco,nafta,2,automática,2.0,coupé,32000,9000000
citroën,2019,rojo,nafta,5,manual,1.6,hatchback,30000,2900500
peugeot,2021,negro,nafta,5,automática,1.6,hatchback,8300,4500025
toyota,2020,blanco,nafta,5,manual,1.5,hatchback,38000,4490000
peugeot,2021,negro,nafta,5,automática,1.6,hatchback,8300,4500010
peugeot,2021,negro,nafta,5,automática,1.6,hatchback,8300,4500000
peugeot,2021,negro,nafta,5,automática,1.6,hatchback,8300,4500000
peugeot,2018,negro,nafta,5,manual,1.6,suv,86000,3190000
renault,2018,gris,nafta,5,manual,1.6,suv,79000,2600000
bmw,2001,azul,nafta,2,manual,2.5,coupé,230000,2300000
peugeot,2017,blanco,nafta,5,manual,1.6,hatchback,82000,3300000
honda,2016,gris,nafta,5,automática,1.8,suv,80900,4000000
volkswagen,2016,gris,diésel,4,automática,2.0,pick-up,88000,6399900
toyota,2021,blanco,nafta,4,automática,1.8,sedán,7900,6699900
jeep,2018,gris,nafta,5,automática,1.8,suv,20000,4999900
jeep,2013,negro,nafta,5,automática,3.6,suv,117000,5380000
fiat,2015,negro,nafta,5,manual,1.4,hatchback,93000,1600000
toyota,2018,gris,diésel,4,manual,2.8,pick-up,129000,6999900
honda,2019,rojo,nafta,5,automática,1.8,suv,7300,6000000
peugeot,2013,azul,híbrido/nafta,4,manual,2.0,sedán,112000,1590000
renault,2018,rojo,nafta,5,automática,1.6,suv,59000,4249900
volkswagen,2015,blanco,diésel,4,manual,2.0,pick-up,103600,4200000
toyota,2013,negro,nafta,4,manual,1.8,sedán,168100,2200000
mercedes-benz,2015,negro,nafta,5,automática,1.6,suv,91000,6500000
volkswagen,2012,gris,nafta,4,manual,2.0,sedán,119000,2990900
jeep,2013,negro,nafta,5,automática,3.6,suv,117000,5380000
fiat,2017,rojo,diésel,4,manual,2.0,pick-up,78000,3999900
renault,2017,gris,nafta,5,manual,1.6,hatchback,65000,2500000
renault,2014,plateado,nafta,5,manual,1.6,suv,173000,2250000
ford,2018,plateado,nafta,5,automática,2.0,monovolumen,48000,5400000
volkswagen,2020,azul,diésel,4,manual,2.0,pick-up,39000,5499900
ford,2014,naranja,nafta,5,manual,1.6,suv,65000,2449900
jeep,2018,azul,nafta,5,automática,1.8,suv,56220,4238001
suzuki,2017,gris,nafta,5,manual,1.6,suv,46000,4900000
ford,2018,plateado,nafta,5,automática,2.0,monovolumen,48000,5400000
volkswagen,2015,blanco,nafta,3,manual,1.6,hatchback,110000,1620000
ford,2015,azul,nafta,4,automática,1.6,sedán,46000,2250000
peugeot,2017,blanco,nafta,5,manual,1.6,hatchback,55000,3400000
ford,2017,azul,nafta,5,automática,2.0,hatchback,60000,3500000
mercedes-benz,2021,blanco,nafta,5,automática,1.3,hatchback,7000,11780000
chevrolet,2015,gris,nafta,4,manual,1.4,sedán,72000,1830000
toyota,2013,plateado,diésel,4,manual,3.0,pick-up,112600,4600000
toyota,2017,gris,nafta,4,automática,1.8,sedán,107000,3500000
toyota,2016,rojo,nafta,4,manual,1.8,sedán,82600,3100000
ford,2018,rojo,nafta,5,automática,1.5,suv,34600,3550000
citroën,2012,plateado,nafta,5,manual,1.6,monovolumen,107000,1500000
mercedes-benz,2016,gris,nafta,5,automática,2.0,hatchback,17000,7980000
chevrolet,2017,blanco,nafta,4,manual,1.8,sedán,57000,3250000
toyota,2017,blanco,diésel,4,manual,2.4,pick-up,112000,4989000
toyota,2019,gris,diésel,4,manual,2.4,pick-up,78000,5300000
bmw,2019,blanco,nafta,4,automática,3.0,sedán,13000,13780000
ford,2019,blanco,nafta,5,manual,1.5,hatchback,32000,2720000
ford,2019,azul,nafta,5,automática,2.0,hatchback,43900,3389900
volkswagen,2015,negro,diésel,4,automática,2.0,pick-up,138000,5500000
volkswagen,2016,blanco,nafta,5,manual,1.0,hatchback,73900,2163000
volkswagen,2018,azul,nafta,5,manual,1.0,hatchback,81800,2524000
fiat,2013,dorado,nafta,5,manual,1.4,hatchback,103500,1648000
peugeot,2021,gris,nafta,5,manual,1.6,hatchback,1001,3680000
ford,2017,gris,nafta,4,automática,2.0,sedán,69000,3100000
honda,2015,blanco,nafta,5,automática,1.8,suv,38000,4200000
peugeot,2018,plateado,diésel,5,manual,1.6,hatchback,74000,3490000
chevrolet,2017,negro,nafta,4,manual,1.4,sedán,45000,2090000
ford,2017,gris,nafta,5,automática,2.0,suv,100000,5200000
ford,2019,azul,nafta,5,automática,2.0,hatchback,43850,3390000
ford,2016,gris,nafta,5,automática,2.0,hatchback,75450,3450000
ford,2016,gris,nafta,5,automática,2.0,hatchback,75000,3460000
volkswagen,2011,verde,nafta,3,manual,1.6,hatchback,85000,1150000
toyota,2018,gris oscuro,nafta,4,automática,1.8,sedán,61300,4200000
bmw,2012,blanco,nafta,2,automática,2.5,coupé,82000,3980000
nissan,2016,rojo,diésel,4,manual,2.3,pick-up,82000,5280000
toyota,2019,gris,nafta,5,automática,2.7,monovolumen,99000,5000000
toyota,2006,bordo metalizado,diésel,5,manual,3.0,suv,350000,3620000
toyota,2021,blanco,diésel,4,automática,2.8,pick-up,1000,9450000
volkswagen,2010,negro,nafta,4,automática,2.0,sedán,197000,1440000
fiat,2017,plateado,diésel,4,manual,2.0,pick-up,70000,3700500
renault,2018,blanco,nafta,4,manual,2.0,suv,73000,3790000
ford,2018,plateado,nafta,5,automática,2.0,hatchback,60768,3650000
volkswagen,2013,dorado,nafta,5,manual,1.6,hatchback,110000,1700500
renault,2018,blanco,nafta,5,manual,1.6,hatchback,47000,2700500
ram,2015,blanco,nafta,4,automática,5.7,pick-up,79000,6980000
renault,2017,blanco,nafta,5,manual,2.0,suv,75100,3720000
volkswagen,2019,gris,nafta,4,automática,1.6,sedán,18000,3890000
jeep,2018,gris,nafta,5,manual,2.4,suv,21500,7000000
volkswagen,2015,gris,nafta,5,manual,1.6,monovolumen,85000,2190000
volkswagen,2019,blanco,nafta,3,automática,2.0,hatchback,2000,7400000
volkswagen,2017,plateado,nafta,5,manual,1.6,monovolumen,97000,2799999
toyota,2018,blanco,nafta,5,automática,2.0,suv,23800,7480000
ford,2020,azul,nafta,4,automática,3.5,pick-up,31000,22000000
volkswagen,2018,azul,nafta,4,automática,2.0,sedán,34000,8500000
volkswagen,2019,blanco,diésel,4,automática,2.0,pick-up,110000,6890000
ford,2015,negro,nafta,5,manual,1.6,hatchback,47000,2200000
chevrolet,2017,gris,nafta,5,automática,1.8,suv,69500,3699000
volkswagen,2017,gris,nafta,5,automática,2.0,hatchback,68000,6990000
ford,2017,gris,nafta,5,manual,1.6,suv,91000,2900000
honda,2019,azul,nafta,5,automática,1.8,suv,70000,5400000
fiat,2012,negro,nafta,3,manual,1.4,hatchback,144000,1200000
renault,2016,gris,nafta,5,manual,1.2,hatchback,172000,1380000
audi,2015,blanco,nafta,5,manual,1.4,hatchback,94000,3380000
audi,2021,azul,nafta,5,automática,1.4,suv,666,10660000
volkswagen,2014,rojo,nafta,3,manual,1.6,hatchback,104000,1670000
honda,2019,blanco,nafta,5,automática,1.8,suv,37700,5950000
bmw,2008,negro,nafta,2,manual,3.0,coupé,86500,4800000
bmw,2008,negro,nafta,2,manual,3.0,coupé,86500,4800000
bmw,2005,negro,nafta,4,manual,5.0,sedán,80142,8800000
peugeot,2018,blanco,nafta,5,manual,1.6,hatchback,56376,3400000
jeep,2020,plateado,nafta,5,automática,1.8,suv,21600,5190000
subaru,1998,blanco,nafta,4,manual,2.0,sedán,180000,3900000
audi,2017,gris,nafta,5,automática,2.0,hatchback,29000,7980000
chevrolet,2016,azul,nafta,5,automática,1.8,suv,49000,3590000
mercedes-benz,2021,negro,nafta,4,automática,3.0,sedán,1000,25980000
mercedes-benz,2016,blanco,nafta,5,automática,1.6,suv,49000,6580000
volkswagen,2021,plateado,nafta,5,automática,1.0,suv,17000,5900000
mini,2021,blanco,nafta,2,manual,1.6,coupé,1000,9380000
volvo,2017,negro,nafta,5,automática,2.0,suv,72000,13980000
jeep,2016,negro,nafta,3,manual,3.6,suv,51000,9580000
citroën,2018,gris,diésel,5,manual,1.6,monovolumen,79000,3095900
volkswagen,2021,gris,diésel,4,automática,3.0,pick-up,17000,9000000
chevrolet,2015,rojo,nafta,5,manual,1.4,hatchback,60000,2090000
mercedes-benz,2017,negro,nafta,5,automática,3.0,suv,43238,21800000
jeep,2012,plateado,nafta,5,automática,3.6,suv,89000,5040000
volkswagen,2013,blanco,nafta,5,manual,1.4,hatchback,91000,1340000
renault,2021,plateado,diésel,3,manual,1.5,monovolumen,28000,3900000
ford,2014,blanco,nafta,5,manual,1.6,suv,35000,2790000
bmw,2016,gris,nafta,5,automática,3.0,suv,75000,12380000
renault,2019,naranja,nafta,5,manual,1.6,hatchback,18000,2890000
kia,2012,gris,nafta,5,automática,2.0,suv,154000,3800000
mercedes-benz,2021,gris,nafta,5,automática,1.6,hatchback,4500,31000000
renault,2018,blanco,nafta,5,manual,1.6,hatchback,102000,2490000
chevrolet,2014,plateado,nafta,5,manual,1.4,hatchback,73000,1570000
mercedes-benz,2014,gris,nafta,5,automática,3.5,suv,57800,8760000
kia,2019,azul,nafta,5,automática,1.6,hatchback,30000,3589900
kia,2019,azul,nafta,5,automática,1.6,hatchback,30000,3590000
bmw,2019,plateado,nafta,4,automática,3.0,sedán,19000,13780000
jeep,2016,negro,nafta,3,manual,3.6,suv,41000,10380000
peugeot,2016,plateado,diésel,5,manual,1.6,hatchback,84000,2750000
fiat,2015,blanco,nafta,4,manual,1.4,sedán,62000,1600000
renault,2017,negro,nafta,5,automática,2.0,suv,46000,3450000
volkswagen,2013,azul,nafta,4,automática,2.0,sedán,125000,2940000
audi,2021,gris,nafta,5,automática,2.0,suv,1000,18188000
audi,2017,gris,nafta,4,automática,2.0,sedán,43700,7180000
renault,2017,gris,nafta,4,automática,2.0,sedán,50000,3000000
hyundai,2021,gris,nafta,5,automática,1.6,suv,24000,6600000
jeep,2018,negro,nafta,5,automática,2.4,suv,52000,6800000
jeep,2019,blanco,nafta,5,automática,3.6,suv,12000,16780000
citroën,2017,azul,nafta,4,manual,1.6,sedán,42400,2280000
ford,2015,blanco,nafta,5,manual,2.0,hatchback,110000,2280000
chevrolet,2016,negro,diésel,4,manual,2.8,pick-up,85000,4900000
volkswagen,2018,dorado,nafta,5,automática,1.6,hatchback,83000,3300000
ford,2020,gris,diésel,4,automática,3.2,pick-up,50000,6990000
mitsubishi,2020,azul,diésel,4,automática,2.4,pick-up,46000,8990000
citroën,2018,plateado,nafta,5,automática,1.2,suv,53900,3439000
ford,2015,blanco,nafta,5,manual,1.6,hatchback,75300,2019900
peugeot,2021,blanco,diésel,5,automática,2.0,monovolumen,48000,7980000
volkswagen,2015,azul,nafta,5,manual,1.6,hatchback,78000,2630000
volkswagen,2016,blanco,diésel,4,automática,2.0,pick-up,78000,5380000
mini,2013,gris,nafta,3,automática,1.6,hatchback,120000,3798000
honda,2013,blanco,nafta,5,automática,2.4,suv,80555,4100000
mercedes-benz,2018,gris,nafta,5,automática,2.0,suv,40000,13000000
mercedes-benz,2017,gris,nafta,5,automática,1.6,hatchback,20400,14000000
citroën,2016,gris,diésel,4,manual,1.6,sedán,128000,2350000
renault,2017,blanco,nafta,3,manual,1.6,furgón,75000,2590000
volkswagen,2014,blanco,nafta,3,manual,1.0,hatchback,91300,1650000
renault,2013,dorado,nafta,4,manual,1.6,sedán,100000,1199000
chevrolet,2011,gris,nafta,4,manual,1.4,sedán,160000,1090000
peugeot,2016,gris,nafta,5,automática,1.6,hatchback,68000,3030000
renault,2017,gris,nafta,5,manual,2.0,suv,80000,2980000
peugeot,2017,blanco,nafta,5,manual,1.6,hatchback,80000,3200000
citroã«n,2011,gris,diésel,5,manual,1.6,monovolumen,178600,1950000
chevrolet,2017,gris,nafta,5,manual,1.8,monovolumen,69150,3250000
peugeot,2013,azul oscuro,nafta,4,manual,1.4,monovolumen,180200,2000000
audi,2018,gris,nafta,4,manual,2.0,sedán,89000,5700000
renault,2018,gris,nafta,5,manual,2.0,suv,78700,3290000
citroën,2019,blanco,nafta,5,manual,1.6,hatchback,45000,2700000
ford,2020,plateado,diésel,4,manual,3.2,pick-up,44485,7200000
hyundai,2021,plateado,nafta,5,automática,1.6,suv,24500,6600000
audi,2020,negro,nafta,5,automática,1.4,suv,1000,12600000
bmw,2021,negro,nafta,5,automática,1.5,hatchback,14800,10400000
nissan,2020,gris,nafta,5,manual,1.6,hatchback,24000,4280000
audi,2018,celeste,nafta,4,automática,2.5,sedán,13581,19800000
porsche,2012,blanco,nafta,2,manual,3.8,coupé,27500,69000000
chery,2014,gris,nafta,5,manual,2.0,suv,97000,1950000
nissan,2012,negro,nafta,5,manual,2.5,suv,170000,2980000
audi,2018,blanco,nafta,5,automática,2.0,suv,65000,13340000
renault,2013,rojo,nafta,3,manual,1.2,hatchback,110000,1159900
mercedes-benz,2019,negro,diésel,2,manual,1.6,furgón,38000,6200000
ford,2016,blanco,nafta,5,manual,1.6,hatchback,55000,2250000
chevrolet,2014,rojo,nafta,5,automática,1.8,suv,113500,3150000
peugeot,2016,gris,nafta,5,manual,2.0,hatchback,40000,3000000
mercedes-benz,2009,rojo,nafta,4,automática,3.0,sedán,127000,3000000
volkswagen,2017,plateado,nafta,4,automática,2.0,sedán,127000,5900000
kia,2015,rojo,nafta,5,automática,1.6,suv,82000,2990000
chevrolet,2018,blanco,nafta,5,automática,1.8,suv,38000,4550000
jeep,2018,plateado,nafta,5,automática,1.8,suv,37000,4700000
renault,2015,rojo,nafta,5,manual,1.6,suv,67000,2700500
volkswagen,2017,negro,nafta,5,manual,1.4,hatchback,46000,3950000
fiat,2014,negro,nafta,3,automática,1.4,hatchback,53000,3000000
volkswagen,2019,blanco,nafta,5,manual,1.6,hatchback,12000,2600000
peugeot,2014,plateado,nafta,5,manual,1.6,monovolumen,136000,2050000
toyota,2017,blanco,diésel,4,automática,2.8,pick-up,102000,7000000
bmw,2016,gris,nafta,2,automática,3.0,coupé,53800,10380000
peugeot,2020,blanco,nafta,5,manual,1.6,hatchback,54000,3050000
peugeot,2016,gris,nafta,5,manual,2.0,hatchback,40000,3000000
chevrolet,2018,blanco,nafta,5,manual,1.8,suv,38000,4550000
chevrolet,2019,gris,nafta,5,automática,1.8,suv,20000,4749900
citroën,2018,gris,nafta,5,automática,1.2,suv,45000,3800000
chevrolet,2020,rojo,nafta,5,automática,1.2,suv,14000,6000000
fiat,2013,gris,nafta,4,manual,1.4,sedán,110000,1350000
toyota,2021,blanco,diésel,4,automática,2.8,pick-up,8000,10600000
peugeot,2017,blanco,nafta,5,manual,1.6,hatchback,80000,3200000
jeep,2021,plateado,nafta,5,manual,2.4,suv,18300,6900000
peugeot,2016,blanco,nafta,5,manual,1.6,hatchback,80000,2500000
renault,2015,blanco,nafta,5,manual,1.6,hatchback,84000,1779000
chevrolet,2013,negro,nafta/gnc,5,manual,1.8,monovolumen,80000,1255000
audi,2020,negro,nafta,5,automática,3.0,sedán,11000,21980000
honda,2019,blanco,nafta,5,automática,1.8,suv,37000,5950000
chrysler,2011,gris,nafta,5,automática,3.6,monovolumen,266000,3880000
citroën,2015,gris,diésel,4,manual,1.6,sedán,70000,2400000
audi,2012,gris,nafta,5,automática,3.0,suv,90600,7800000
jeep,2019,blanco,nafta,3,automática,3.6,hatchback,18000,16400000
volkswagen,2013,blanco,nafta,5,automática,2.0,suv,119000,3560000
mercedes-benz,2016,plateado,nafta,4,automática,2.0,sedán,137000,5760000
chery,2017,gris,nafta,5,manual,2.0,suv,52000,3149000
mercedes-benz,2016,gris,nafta,5,automática,2.0,suv,77000,11800000
bmw,2016,gris,nafta,5,automática,3.0,suv,32500,17980000
peugeot,2013,gris,nafta,5,manual,1.6,hatchback,95000,2900000
mazda,1998,blanco,nafta,2,manual,2.0,coupé,95000,3180000
bmw,2007,gris,nafta,4,manual,2.5,sedán,100000,2970000
renault,2014,gris,nafta,3,manual,1.6,furgón,167000,1650000
toyota,2019,rojo,diésel,4,automática,2.8,pick-up,51000,7500000
chevrolet,2018,blanco,nafta,5,automática,1.8,suv,38600,4550000
ford,2010,gris,nafta,4,manual,2.0,sedán,160000,1400000
fiat,2019,blanco,nafta,3,manual,1.4,hatchback,3000,5380000
honda,2010,negro,nafta,5,automática,2.4,suv,184000,2800000
ford,2021,gris,nafta,4,automática,1.5,sedán,4379,3350000
nissan,2019,plateado,nafta,5,manual,1.6,hatchback,34000,4200000
toyota,2017,negro,nafta,4,manual,1.8,sedán,54000,2999999
audi,2012,blanco,nafta,2,automática,3.0,coupé,90000,7900000
renault,2021,gris,nafta,5,automática,1.6,hatchback,11000,3640000
honda,2019,blanco,nafta,5,automática,1.8,suv,37200,5950000
ford,2019,negro,diésel,4,automática,3.2,pick-up,49000,7400000
audi,2018,azul,nafta,4,automática,1.4,sedán,70000,6380000
audi,2018,azul,nafta,4,manual,1.4,sedán,69000,6380000
bmw,2020,negro,nafta,2,automática,2.0,coupé,8000,12200000
toyota,2012,blanco,diésel,5,automática,3.0,suv,346000,4990000
volkswagen,2019,azul,nafta,5,automática,1.6,suv,41919,5000000
toyota,2017,blanco,diésel,5,manual,2.8,suv,91000,8380000
toyota,2017,gris,nafta,4,automática,1.8,sedán,57000,3800000
ford,2017,blanco,nafta,2,manual,5.0,coupé,33000,14200000
renault,2016,blanco,nafta,4,manual,1.6,sedán,96000,1990000
toyota,2016,blanco,diésel,5,automática,2.8,suv,73500,8400000
volkswagen,2016,blanco,nafta,5,manual,1.6,hatchback,80698,2250000
audi,2012,negro,nafta,5,manual,2.0,suv,62000,4200000
chevrolet,2013,negro,nafta,5,manual,1.4,hatchback,101000,1390000
volkswagen,2017,gris,nafta,4,automática,1.4,sedán,70600,4300000
volkswagen,2011,negro,nafta,5,manual,2.0,suv,119000,3050000
audi,2018,blanco,nafta,5,automática,2.0,suv,72000,7300000
audi,2017,gris,nafta,2,automática,2.0,coupé,12000,15100000
citroën,2019,gris,nafta,3,manual,1.6,furgón,72400,3050000
peugeot,2018,blanco,nafta,5,manual,1.6,hatchback,48000,3449000
chevrolet,2017,blanco,nafta,4,manual,1.4,sedán,72000,3280000
renault,2019,blanco,nafta,5,manual,1.0,hatchback,22000,2425000
volkswagen,2015,blanco,diésel,4,manual,2.0,pick-up,148000,3690000
fiat,2017,negro,diésel,4,manual,2.0,pick-up,45000,4000000
volkswagen,2011,gris,diésel,4,automática,2.0,sedán,145000,2530000
nissan,2018,plateado,nafta,5,manual,1.6,hatchback,51000,2130000
ford,2016,dorado,nafta,4,manual,2.0,sedán,117000,2850000
chevrolet,2017,gris,nafta,5,automática,1.8,suv,61000,4190000
jeep,2018,blanco,nafta,5,automática,1.8,suv,70000,4700000
volkswagen,2021,blanco,diésel,4,automática,3.0,pick-up,36000,9900000
audi,2016,blanco,nafta,3,automática,1.8,hatchback,117000,5600000
bmw,2013,blanco,nafta,5,automática,3.0,suv,143000,5600000
kia,2015,rojo,nafta,5,automática,1.6,suv,82000,2990000
volkswagen,2013,blanco,diésel,4,manual,2.0,pick-up,150000,4650000
kia,2015,rojo,nafta,5,automática,1.6,suv,81500,2990000
toyota,2018,plateado,nafta,5,automática,1.5,hatchback,55000,3000000
chevrolet,2009,dorado,nafta,4,manual,1.4,sedán,160000,820000
volkswagen,2018,gris,nafta,4,automática,2.0,sedán,48900,7200000
audi,2021,gris,nafta,4,manual,2.0,sedán,16000,10400000
renault,2013,plateado,nafta,5,manual,1.6,suv,100000,1950500
toyota,2015,blanco,nafta,4,automática,1.8,sedán,81200,2820000
citroën,2016,blanco,diésel,3,manual,1.6,furgón,115000,2150000
bmw,2021,negro,nafta,5,automática,1.5,hatchback,14800,10400000
toyota,2015,blanco,nafta,4,manual,1.8,sedán,76000,3139000
fiat,2016,negro,nafta,4,manual,1.4,sedán,60000,1335000
ram,2014,negro,nafta,4,automática,5.7,pick-up,110000,6300000
honda,2012,blanco,nafta,5,automática,2.4,suv,206000,3090000
ram,2016,blanco,nafta,4,automática,5.7,pick-up,80000,8380000
jeep,2021,negro,nafta,5,automática,1.8,suv,1234,5650000
toyota,2019,blanco,híbrido/nafta,4,automática,1.8,hatchback,16000,5990000
bmw,2017,gris,nafta,5,automática,3.0,suv,88000,12180000
renault,2018,rojo,nafta,5,manual,1.6,hatchback,79800,2806000
fiat,2012,rojo,nafta,3,manual,1.4,hatchback,95000,1949900
chevrolet,2018,blanco,nafta,5,automática,1.8,suv,50000,4400500
renault,2017,blanco,nafta,5,manual,2.0,hatchback,52000,2400500
volkswagen,2012,plateado,nafta,5,manual,2.0,suv,113000,3300500
volkswagen,2019,naranja,nafta,5,automática,1.6,suv,13000,5100500
fiat,2014,negro,nafta/gnc,5,manual,1.4,hatchback,118000,1490000
chevrolet,2017,gris,nafta,5,manual,1.4,hatchback,57000,2330000
ford,2016,negro,nafta,2,manual,5.0,coupé,23000,17000000
volkswagen,2021,blanco,diésel,4,automática,3.0,pick-up,2600,11998000
mercedes-benz,2017,gris,nafta,5,automática,1.6,hatchback,73000,13800000
chevrolet,2020,blanco,nafta,5,automática,1.5,suv,17000,7500000
volkswagen,2017,gris,nafta,5,automática,2.0,hatchback,67000,7000000
fiat,2017,plateado,diésel,4,automática,2.0,pick-up,99000,4500000
renault,2018,rojo,nafta,5,manual,1.6,hatchback,79881,2830000
volkswagen,2021,plateado,nafta,5,automática,1.4,hatchback,10200,5490000
ford,2014,negro,nafta,5,manual,1.6,suv,98000,2350500
volkswagen,2020,blanco,diésel,4,automática,3.0,pick-up,103000,7990000
volkswagen,2017,gris,nafta,5,automática,2.0,hatchback,67900,7000000
volkswagen,2010,plateado,diésel,4,manual,2.0,pick-up,190000,3300000
ford,2016,gris,nafta,5,automática,2.0,hatchback,79000,2889900
ford,2017,gris,nafta,4,automática,2.0,sedán,75000,3475000
ram,2021,azul,nafta,4,automática,5.7,pick-up,14033,12598000
volkswagen,2020,blanco,diésel,4,automática,3.0,pick-up,104000,7990000
volkswagen,2021,blanco,nafta,5,automática,1.4,suv,2700,7090000
volkswagen,2017,negro,nafta,5,manual,1.4,hatchback,46000,3950000
ram,2014,azul,nafta,4,automática,5.7,pick-up,73000,7200000
toyota,2015,blanco,diésel,4,manual,3.0,pick-up,129000,4549000
renault,2016,marrón,nafta,5,manual,1.6,suv,80000,2700000
renault,2016,rojo,nafta,4,manual,1.6,monovolumen,154000,1950000
peugeot,2020,gris,nafta,5,automática,1.6,suv,10000,5250000
ford,2020,gris,diésel,4,automática,3.2,pick-up,28300,8380000
jeep,2019,blanco,nafta,5,automática,2.4,suv,43000,6300000
volkswagen,2010,blanco,nafta,4,manual,1.8,sedán,96000,2100000
audi,2011,gris,nafta,5,automática,2.0,suv,128600,4040000
volkswagen,2012,gris,nafta,4,automática,2.0,sedán,95000,3250000
toyota,2015,blanco,diésel,4,manual,3.0,pick-up,130000,4550000
audi,2017,negro,nafta,5,automática,1.4,suv,90000,6400000
chery,2017,celeste,nafta,5,manual,1.0,hatchback,55000,1650500
volkswagen,2014,dorado,diésel,4,manual,2.0,pick-up,133611,4690000
volkswagen,2018,gris platino,nafta,5,automática,1.6,hatchback,52000,3250000
citroã«n,2019,rojo,nafta,5,manual,1.6,hatchback,30000,2900500
mercedes-benz,2011,blanco,diésel,2,manual,2.1,furgón,350000,3500000
peugeot,2015,negro,nafta,5,manual,1.6,hatchback,77000,2300500
honda,2012,gris,nafta,5,automática,1.4,hatchback,153000,2190000
renault,2019,blanco,nafta,5,automática,1.6,suv,20800,4650000
volkswagen,2017,negro,nafta,4,manual,1.4,sedán,85700,3350000
volkswagen,2017,negro,nafta,4,manual,1.4,sedán,85733,3350000
chevrolet,2016,plateado,nafta,5,manual,1.4,hatchback,61000,2200000
volkswagen,2019,plateado,nafta,5,manual,1.6,hatchback,36300,3850000
chevrolet,2019,rojo,nafta,5,automática,1.8,suv,46055,3950000
volkswagen,2015,blanco,diésel,4,manual,2.0,pick-up,120000,4500000
jeep,2017,negro,nafta,5,manual,1.8,suv,75000,4079000
ford,2001,gris,nafta,4,manual,2.5,pick-up,218000,1800000
renault,2021,blanco,nafta,4,manual,1.6,sedán,1000,2621000
volkswagen,2018,rojo,nafta,3,manual,1.6,hatchback,46531,2300000
jeep,2018,negro,nafta,5,manual,1.8,suv,19600,4300000
ford,2014,blanco,nafta,5,manual,1.6,suv,110000,2290000
toyota,2016,plateado,nafta,4,manual,1.8,sedán,130000,2688000
volkswagen,2014,plateado,nafta,4,automática,2.5,sedán,165000,2678000
peugeot,2016,blanco,nafta,4,automática,1.6,sedán,56000,2910000
audi,2018,gris,nafta,4,automática,2.0,sedán,26700,13600000
audi,2021,gris,nafta,5,automática,3.0,suv,3000,38980000
peugeot,2019,blanco,nafta,5,manual,1.6,hatchback,50000,3200500
volkswagen,2019,blanco,diésel,4,automática,3.0,pick-up,70000,9440000
toyota,2013,negro,nafta,4,manual,1.8,sedán,177000,2100000
chevrolet,2019,gris,nafta,4,manual,1.4,sedán,47000,2150000
renault,2007,gris,nafta,5,manual,1.6,hatchback,149000,860000
renault,2018,blanco,nafta,3,manual,1.6,furgón,48800,3050000
citroën,2017,blanco,nafta,5,manual,1.6,hatchback,75000,2989000
