marca,year,color,combustible,puertas,transmision,motor,carroceria,km,price_in_pesos
volkswagen,2018,blanco,diésel,4,manual,2.0,pick-up,41000,6600000
chevrolet,2018,gris,nafta,5,automática,1.4,hatchback,20353,3079618
renault,2012,rojo,nafta,5,manual,1.6,suv,57450,2096301
ford,2017,blanco,nafta,5,manual,1.6,hatchback,84000,2100000
peugeot,2021,plateado,nafta,5,automática,1.6,hatchback,3400,4150000
mercedes-benz,2009,blanco,nafta,2,automática,3.5,coupé,72400,4400000
fiat,2014,negro,nafta,5,manual,1.4,hatchback,84000,1350010
volkswagen,2019,blanco,nafta,4,automática,1.4,sedán,40000,5500000
ford,2019,gris,nafta,5,manual,1.5,suv,31320,3430000
audi,2010,negro,nafta,3,manual,1.6,hatchback,177720,2400000
chevrolet,2020,azul,nafta,5,manual,1.4,hatchback,20000,2590000
peugeot,2017,plateado,diésel,4,manual,1.6,furgón,64500,3300000
nissan,2018,gris,nafta,5,automática,3.5,suv,45000,8400000
renault,2019,blanco,nafta/gnc,5,manual,1.6,suv,37000,3640000
renault,2019,blanco,nafta,5,manual,1.0,hatchback,99000,1899900
volkswagen,2018,blanco,diésel,4,manual,2.0,pick-up,41000,6599999
volkswagen,2018,blanco,diésel,4,manual,2.0,pick-up,41000,6600000
audi,2016,gris,nafta,3,manual,1.4,hatchback,75000,3762000
chevrolet,2013,dorado,nafta,4,manual,1.4,sedán,38300,1550000
volkswagen,2021,gris,nafta,5,automática,1.0,suv,8500,6050000
citroën,2012,blanco,nafta,5,manual,1.4,hatchback,98000,1380000
peugeot,2012,negro,nafta,5,manual,1.4,hatchback,35400,1790000
chery,2017,blanco,nafta,5,manual,1.6,suv,49000,2700000
volkswagen,2019,azul,nafta,5,automática,2.0,hatchback,55000,7000000
renault,2018,naranja,nafta,5,manual,1.0,hatchback,76800,2200000
audi,2019,plateado,nafta,4,automática,2.0,sedán,92600,7920000
audi,2019,gris,nafta,4,manual,2.0,sedán,92500,7920000
volkswagen,2015,gris,nafta,5,manual,1.0,hatchback,82000,1890000
bmw,2017,blanco,nafta,5,automática,3.0,suv,35000,17000000
renault,2018,blanco,nafta,5,manual,1.0,hatchback,67000,1790000
fiat,2018,rojo,nafta,3,manual,1.4,hatchback,21000,4900000
volkswagen,2009,gris,nafta/gnc,5,manual,1.6,rural,135000,930000
volkswagen,2020,gris,diésel,4,automática,2.0,pick-up,16000,7699999
bmw,2011,negro,nafta,2,automática,2.5,coupé,90000,4580000
renault,2021,negro,diésel,4,manual,2.3,pick-up,1000,5800000
toyota,2021,rojo,diésel,4,manual,2.4,pick-up,15000,7200000
volkswagen,2017,negro,diésel,4,manual,2.0,pick-up,82000,4950000
volkswagen,2020,gris,diésel,4,automática,2.0,pick-up,16000,7500000
volkswagen,2020,gris,diésel,4,automática,2.0,pick-up,16000,7700000
audi,2013,negro,nafta,5,automática,2.0,hatchback,85000,5000000
bmw,2016,gris,nafta,5,manual,1.6,hatchback,95000,6800000
chevrolet,2009,gris,nafta,4,manual,1.8,sedán,114000,990000
volkswagen,2020,gris,nafta,4,automática,1.6,sedán,17000,3890000
nissan,2018,gris,nafta,5,manual,1.6,hatchback,69000,4489900
volkswagen,2020,gris,diésel,4,manual,2.0,pick-up,16000,7700000
citroën,2016,gris,nafta,5,manual,1.5,hatchback,70500,1220000
volkswagen,2016,gris,nafta,4,manual,1.6,hatchback,149000,1890000
citroën,2021,blanco,nafta,5,manual,1.6,suv,5441,4700000
ford,2014,blanco,nafta,5,manual,2.0,hatchback,120000,2250000
chevrolet,2014,blanco,gnc,4,manual,1.4,sedán,129000,1330000
toyota,2020,marrón,diésel,5,manual,2.8,suv,26873,8750000
toyota,2018,plateado,nafta,4,manual,1.5,sedán,68000,2618000
