url,title,price,currency_symbol,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros
https://auto.mercadolibre.com.ar/MLA-1131692104-bmw-serie-1-16-120i-sport-line-177cv-_JM#position=1&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,BMW Serie 1 1.6 120i Sport Line 177cv,28500,U$S,BMW,Serie 1,2016,Blanco,Nafta,5,Manual,1.6,Hatchback,99800 km
https://auto.mercadolibre.com.ar/MLA-1128819519-toyota-land-cruiser-45-200-v8-d4-d-235cv-at-_JM#position=2&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Toyota Land Cruiser 4.5 200 V8 D4-d 235cv At,41900,U$S,Toyota,Land Cruiser,2010,Plateado,Diésel,5,Automática,4.5,SUV,240000 km
https://auto.mercadolibre.com.ar/MLA-1126962399-audi-a5-sportback-20-tfsi-stronic-quattro-230cv-_JM#position=3&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Audi A5 Sportback 2.0 Tfsi Stronic Quattro 230cv,46900,U$S,Audi,A5 Sportback,2017,Azul petróleo,Nafta,3,Automática,2.0,Hatchback,54000 km
https://auto.mercadolibre.com.ar/MLA-1132820427-audi-a4-20-fsi-quattro-252cv-2016-_JM#position=4&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Audi A4 2.0 Fsi Quattro 252cv,35900,U$S,Audi,A4,2016,Blanco,Nafta,4,Automática,2.0,Sedán,74000 km
https://auto.mercadolibre.com.ar/MLA-1132831694-volkswagen-tiguan-20-sportline-tsi-automatica-2013-_JM#position=5&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Volkswagen Tiguan 2.0 Sport & Style Tsi 200cv Tiptronic,3600000,$,Volkswagen,Tiguan,2013,Blanco,Nafta,5,Automática,2.0,SUV,96000 km
https://auto.mercadolibre.com.ar/MLA-1132843623-nissan-versa-16-exclusive-automatico-2019-_JM#position=6&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Nissan Versa 1.6 Exclusive At,3400000,$,Nissan,Versa,2019,Rojo,Nafta,4,Automática,1.6,Sedán,6100 km
https://auto.mercadolibre.com.ar/MLA-1132855791-volkswagen-vento-2018-20-tsi-gli-211cv-banchik-usasos-_JM#position=7&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Volkswagen Vento 2.0 Tsi Gli 211cv App Connect + Nav,6200000,$,Volkswagen,Vento,2018,Blanco,Nafta,4,Manual,2.0,Sedán,68500 km
https://auto.mercadolibre.com.ar/MLA-1132842552-toyota-etios-15-xls-automatico-2018-_JM#position=8&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Toyota Etios 1.5 Sedan Xls At,2800000,$,Toyota,Etios,2018,Blanco,Nafta,4,Automática,1.5,Sedán,53000 km
https://auto.mercadolibre.com.ar/MLA-1132799774-renault-sandero-stepway-2011-16-confort-105cv-_JM#position=9&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Renault Sandero Stepway 1.6 Confort 105cv,1510000,$,Renault,Sandero Stepway,2011,Azul,GNC,5,Manual,1.6,Hatchback,148000 km
https://auto.mercadolibre.com.ar/MLA-1132817402-toyota-hilux-4x2-srv-pack-30-2012-_JM#position=10&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Toyota Hilux 3.0 Cd Srv Cuero I 171cv 4x2,5150000,$,Toyota,Hilux,2012,Blanco,Diésel,4,Manual,3.0,Pick-Up,86000 km
https://auto.mercadolibre.com.ar/MLA-1132829066-toyota-corolla-18-xei-pack-mt-2016-_JM#position=11&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Toyota Corolla 1.8 Xei Mt Pack 140cv,2700000,$,Toyota,Corolla,2016,Plateado,Nafta,4,Manual,1.8,Sedán,116000 km
https://auto.mercadolibre.com.ar/MLA-1132841163-toyota-corolla-18-xei-pack-mt-2016-_JM#position=12&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Toyota Corolla 1.8 Xei Mt Pack 140cv,2700000,$,Toyota,Corolla,2016,Gris,Nafta,4,Manual,1.8,Sedán,116000 km
https://auto.mercadolibre.com.ar/MLA-1132787162-volkswagen-golf-14-comfortline-dsg-2015-_JM#position=13&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Volkswagen Golf 1.4 Comfortline Tsi Dsg,3400000,$,Volkswagen,Golf,2015,Blanco,Nafta,5,Automática,1.4,Hatchback,74000 km
https://auto.mercadolibre.com.ar/MLA-1132834559-fiat-punto-attractive-14-2013-_JM#position=14&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Fiat Punto 1.4 Attractive,1450000,$,Fiat,Punto,2013,Gris,Nafta,5,Manual,1.4,Hatchback,73000 km
https://auto.mercadolibre.com.ar/MLA-1132786337-toyota-rav4-2018-vx-4x2-at-rav-4-abasto-motors-_JM#position=15&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Toyota RAV4 2.0 Vx,6490000,$,Toyota,RAV4,2018,Negro,Nafta,5,Automática,2.0,SUV,62000 km
https://auto.mercadolibre.com.ar/MLA-1132809307-toyota-etios-15-sedan-4p-xls-automatico-2017-_JM#position=16&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Toyota Etios 1.5 Sedan Xls At,2600000,$,Toyota,Etios,2017,Rojo,Nafta,4,Automática,1.5,Sedán,93000 km
https://auto.mercadolibre.com.ar/MLA-1132786289-volkswagen-amarok-highline-20-180cv-4x4-aut-gs-_JM#position=17&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline Pack At,7300000,$,Volkswagen,Amarok,2018,Blanco,Diésel,4,Automática,2.0,Pick-Up,94000 km
https://auto.mercadolibre.com.ar/MLA-1132785756-peugeot-208-2017-16-gti-_JM#position=18&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Peugeot 208 1.6 Gti,3500000,$,Peugeot,208,2017,Rojo,Nafta,3,Manual,1.6,Hatchback,100794 km
https://auto.mercadolibre.com.ar/MLA-1132761035-kia-rio-14-automatico-2015-unico-en-argentina-_JM#position=19&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Kia Rio 1.4 Ex 109cv 4at,2350000,$,Kia,Rio,2015,Negro,Nafta,5,Automática,1.4,Hatchback,80000 km
https://auto.mercadolibre.com.ar/MLA-1132748377-nuevo-audi-a1-a3-sportback-14-30-35-a4-a5-a6-q2-q3-q5-q7-s3-_JM#position=20&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Audi A1 Sportback 1.5 35 Tfsi 150cv,48900,U$S,Audi,A1 Sportback,2021,Blanco,Nafta,5,Automática,1.5,Hatchback,1000 km
https://auto.mercadolibre.com.ar/MLA-1132784513-ford-ranger-_JM#position=21&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Ford Ranger 3.0 Cd Xl Plus 4x2,2350000,$,Ford,Ranger,2010,Dorado,Diésel,2,Manual,3.0,Pick-Up,140000 km
https://auto.mercadolibre.com.ar/MLA-1132776971-citron-c4-cactus-2018-16-vti-115-feel-_JM#position=22&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Citroën C4 Cactus 1.6 Vti 115 Feel,3300000,$,Citroën,C4 Cactus,2018,,Nafta,5,Manual,1.6,SUV,36000 km
https://auto.mercadolibre.com.ar/MLA-1132746602-chevrolet-onix-gn-_JM#position=23&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Chevrolet Onix 1.4 Ltz At 98cv,2980000,$,Chevrolet,Onix,2018,Gris,Nafta,5,Automática,1.4,Hatchback,20353 km
https://auto.mercadolibre.com.ar/MLA-1132740371-volvo-xc60-30-t6-high-luxury-304cv-at-awd-2010-_JM#position=24&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Volvo XC60 3.0 T6 High Luxury 304cv At Awd,15500,U$S,Volvo,XC60,2010,Negro,Nafta,5,Automática,3.0,SUV,120400 km
https://auto.mercadolibre.com.ar/MLA-1132783100-nuevo-audi-a1-a3-sportback-sedan-a4-a5-a6-q2-q3-q5-2022-s3-_JM#position=25&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Audi A1 Sportback 1.0 30 Tfsi 116cv,39900,U$S,Audi,A1 Sportback,2021,Rojo,Nafta,5,Automática,1.0,Hatchback,1000 km
https://auto.mercadolibre.com.ar/MLA-1132776410-chevrolet-trailblazer-28-4x4-lt-at-ano-2013-liv-motors-_JM#position=26&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Chevrolet Trailblazer 2.8 4x4 Lt At Tdci 180cv,3750000,$,Chevrolet,Trailblazer,2013,Plateado,Diésel,5,Automática,2.8,SUV,115000 km
https://auto.mercadolibre.com.ar/MLA-1132734041-toyota-corolla-2017-18-se-g-cvt-140cv-cassano-automobili-_JM#position=27&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Toyota Corolla 1.8 Se-g Cvt 140cv,3950000,$,Toyota,Corolla,2017,Blanco,Nafta,4,Automática,1.8,Sedán,65000 km
https://auto.mercadolibre.com.ar/MLA-1132726637-toyota-yaris-15-107cv-s-lucas-semini-_JM#position=28&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Toyota Yaris 1.5 107cv S,4490000,$,Toyota,Yaris,2020,Blanco,Nafta,5,Manual,1.5,Hatchback,37800 km
https://auto.mercadolibre.com.ar/MLA-1132744412-volkswagen-amarok-20-cd-tdi-180cv-4x4-highline-pack-at-ls-_JM#position=29&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline Pack At,7300000,$,Volkswagen,Amarok,2018,Blanco,Diésel,4,Automática,2.0,Pick-Up,94000 km
https://auto.mercadolibre.com.ar/MLA-1132744198-ford-ka-15-s-5-p-lucas-semini-_JM#position=30&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Ford Ka 1.5 S 5 p,3100000,$,Ford,Ka,2021,Negro,Nafta,5,Manual,1.5,Hatchback,3900 km
https://auto.mercadolibre.com.ar/MLA-1132726099-renault-fluence-privilege-20-16v-excelente-estado-juan-_JM#position=31&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Renault Fluence 2.0 Privilege Mt,1920000,$,Renault,Fluence,2013,Gris,Nafta,4,Manual,2.0,Sedán,81000 km
https://auto.mercadolibre.com.ar/MLA-1132711688-honda-fit-2009-14-lx-l-mt-100cv-oportunidad-_JM#position=32&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Honda Fit 1.4 Lx-l Mt 100cv,1250000,$,Honda,Fit,2009,Plateado,Nafta,5,Manual,1.4,Hatchback,170000 km
https://auto.mercadolibre.com.ar/MLA-1132699496-peugeot-208-feline-pack-cuir-_JM#position=33&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Peugeot 208 1.6 Feline Pack Cuir,2500000,$,Peugeot,208,2015,Gris,Nafta,5,Manual,1.6,Hatchback,85000 km
https://auto.mercadolibre.com.ar/MLA-1132625625-peugeot-208-2014-16-feline-pack-cuir-_JM#position=34&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Peugeot 208 1.6 Feline Pack Cuir,2400000,$,Peugeot,208,2014,Azul,Nafta,5,Manual,1.6,Hatchback,38000 km
https://auto.mercadolibre.com.ar/MLA-1132616787-audi-tt-2018-20-tfsi-stronic-abasto-motors-_JM#position=35&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Audi TT 2.0 T Fsi 230cv,54900,U$S,Audi,TT,2018,Blanco,Nafta,2,Automática,2.0,Coupé,40000 km
https://auto.mercadolibre.com.ar/MLA-1132591992-volkswagen-amarok-highline-4x2-at-2019-unico-dueno-sb-_JM#position=36&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Highline Pack At,6900000,$,Volkswagen,Amarok,2019,Blanco,Diésel,4,Automática,2.0,Pick-Up,110000 km
https://auto.mercadolibre.com.ar/MLA-1132627800-ford-ecosport-freestyle-15-turbo-full-cuero-gps-no-taos-niv-_JM#position=37&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Ford Ecosport 1.5 Freestyle 123cv 4x2,3689900,$,Ford,Ecosport,2019,Rojo,Nafta,5,Manual,1.5,SUV,7800 km
https://auto.mercadolibre.com.ar/MLA-1132590265-renault-duster-dynamique-gn-_JM#position=38&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Renault Duster 1.6 4x2 Dynamique 110cv,2139100,$,Renault,Duster,2012,Rojo,Nafta,5,Manual,1.6,SUV,57450 km
https://auto.mercadolibre.com.ar/MLA-1132643372-renault-sandero-_JM#position=39&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Renault Sandero 1.6 Dynamique 90cv Abs,2200000,$,Renault,Sandero,2018,Blanco,Nafta/GNC,5,Manual,1.6,Hatchback,69000 km
https://auto.mercadolibre.com.ar/MLA-1132596251-jeep-compass-13-t270-longitude-car-cash-_JM#position=40&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Jeep Compass 1.3 T270 Longitude,11000000,$,Jeep,Compass,2022,Blanco,Nafta,5,Automática,1.3,SUV,1000 km
https://auto.mercadolibre.com.ar/MLA-1132589505-audi-q3-14tfsi-2017-autodrive-_JM#position=41&search_layout=grid&type=item&tracking_id=ed7ecaff-1483-4004-a76d-9b5832be0281,Audi Q3 1.4 Tfsi Stronic 150 Cv,32900,U$S,Audi,Q3,2017,Plateado,Nafta,5,Automática,1.4,SUV,54000 km
